id,job_id,job_title,company,industry,location,experience,education,salary,tags,update_date,job_description,job_categories,management_responsibility,work_shift,remote_work,BT_EXP,languages,tools,work_skills,other_conditions,raw_text,created_at,updated_at,update_date_clean,unique_key
1,8ukbm,資料品質測試工程師,美商比特斯科技有限公司(籌備處),電腦軟體服務業,台北市信義區,3年以上,大學,"月薪57,000~77,000元","年終獎金, 節日獎金/禮品, 津貼/補助, 分紅配股, 不扣薪病/事假",,【主要職責】  -  設計並維護 自動化資料驗證框架（Automation Framework），覆蓋 batch 與 streaming pipeline。  -  針對 Kinesis、Kafka、Airflow、MySQL、Redshift 等環境執行資料驗證與轉換測試。  -  開發與執行測試計畫，驗證資料擷取（Ingestion）、轉換（Transformation）與載入（Loading）的準確性。  -  監控資料流程，偵測並通報資料異常、延遲、遺失等問題。  -  與 Data Engineer 合作解決 pipeline、schema、metadata 相關問題。  -  驗證資料模型、ETL/ELT 流程與商業邏輯的一致性與正確性。  -  建立並維護 QA 文件，包括 Test Case、Runbook、Validation Report。  -  參與資料平台版本釋出與更新，確保新功能與數據流穩定。  -  實作 資料品質指標（Data Quality Metrics） 與警報機制，用於即時與排程任務監控。【任職資格】  -  3 年以上 Data QA、Data Engineering 或相關經驗。  -  精通 SQL（MySQL / Redshift），能撰寫複雜查詢與資料驗證邏輯。  -  熟悉 Streaming 系統（Kinesis、Kafka）資料流測試與監控。  -  具 Airflow 或其他資料流程編排工具實務經驗。  -  熟悉 Python，用於資料驗證與自動化測試腳本撰寫。  -  理解資料倉儲架構、ETL/ELT 流程與資料建模。  -  有大型資料集處理與效能調校經驗。  -  了解 Schema 演進、Data Contract 與 Metadata 管理概念。【加分條件】  -  有 AWS 生態系操作經驗（S3、Lambda、Glue、IAM）。  -  熟悉資料治理與法規遵循（GDPR、CCPA）。  -  具測試框架經驗（PyTest、Great Expectations）。  -  熟悉 CI/CD 流程並能應用於資料工作流測試。【軟技能與團隊特質】  -  對資料準確性、流程穩定性與品質具有高度責任感。  -  細心、有條理，具備優秀的問題分析與溝通能力。  -  樂於與跨部門合作（Data Engineer、Analyst、PM），共同提升資料品質。  -  具持續學習與探索新技術的動能。【工作地點】  -  台北市（近捷運站）  -  提供彈性上班制度與國際化數據團隊合作環境【我們提供】  -  具競爭力的薪資與年度獎金制度  -  三節禮金與年度健康檢查  -  彈性上下班與混合辦公制度  -  國際化團隊合作與跨國職涯發展機會,資料工程師,不需負擔管理責任,日班,未知,無需出差外派,不拘,"MySQL,AWS,ETL","測試計劃及測試報告書撰寫,功能測試(function test),問題追蹤處理(Bug tracking),使用者測試(Usability test),軟體品質與保證,系統整合分析,模組化系統設計",無,,2025-11-08 05:05:36,2025-11-15 13:40:39,CRAWL_2025-11-15,8ukbm|CRAWL_2025-11-15
2,8d7v2,技術工程類-AI自動化工程師,力成科技股份有限公司,半導體製造業,新竹縣湖口鄉,經歷不拘,碩士,待遇面議,"上市上櫃, 年終獎金, 津貼/補助, 分紅配股, 交通車",10月22日,1. 透過統計學、資料分析方法與機器學習演算法解決自動化系統整合上的問題。2. 協助各部門完成產線工作自動化的需求。3. AI System的推論表現的精進與訓練模型的維護。4. 根據現有資料的解析結果，找出對產線有效益的關鍵因子。5. 增進已運作的機器學習模型表現，如降低數值預測的誤差、提升分類表現的準確度。6. 資料導入、資料優化處理。7. 協助EDA使用者完成需求，並解決操作上的問題。8. 定時追蹤人工智慧相關的學術研究及應用成果，衡量可行性與效益後落地實現。9. AOI缺陷影像的生成與應用。,"AI工程師,資料工程師,數據分析師／資料分析師",不需負擔管理責任,日班,未知,無需出差外派,英文,"C++,Python,PL/SQL","Machine Learning,機器學習,人工智慧",無,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8d7v2|2025-10-22
3,7osnc,I107 資料分析/數據工程師(可遠端工作),台灣大哥大股份有限公司,電信相關業,台北市大安區,經歷不拘,學歷不拘,"月薪36,000~60,000元","上市上櫃, 遠端工作, 年終獎金, 節日獎金/禮品, 津貼/補助",10月22日,"【為什麼要加入台灣大哥大 IT 攻城精英團隊】1.我們有穩定的福利制度，也有新創公司般的工作挑戰2.我們致力打造一起學習、正向鼓勵回饋的工作環境3.我們有體貼的居家上班制度4.我們不是傳統的電信公司!正加速往區域級科技電信集團目標大步邁進5.我們能讓你從「攻城師」升級為「攻城精英」，這裡絕對是個讓你可以升級武器、切磋技能、激發潛能的難得機會6.我們還有一位跨領域身經百戰、兼具感性與知性、熱愛分享的超強 CIO 隊長！【我們喜歡什麼樣的人】1.具備團隊合作精神的 team player2.優異的溝通及表達能力3.開創性思考的能力4.極端正面的工作態度、積極進取5.具備優異的技術專案規劃、統籌與實作能力6.對新興技術展現優異的理解能力及應用思維工作不是人生的全部，但是一份精彩的工作會豐富成就你更好的人生請給自己也給我們一個機會，加入我們一同持續精進IT專業技術，改寫自己的人生與改寫世界，讓我們一起變得更好，歡迎登艦！【工作內容】參與資料倉儲需求開發、資料分析/應用、大數據應用之專案開發與系統維運 :A. 資料工程：1.負責資料擷取及處理之ETL開發及維運2.負責通路報表系統優化3.通路業績日月報相關需求開發與維運4.雲端通路即時戰報相關需求開發與維運B. ML/DL建模：1.負責模型特徵及機器學習模型之ETL開發及維運2.訓練與優化機器學習或深度學習模型，提高準確度與效率3.監控模型表現，並進行更新與迭代4.進行資料預處理與特徵工程，並設計、開發與部署機器學習模型，解決業務問題【必備技能】A. 資料工程：1.具備資料倉儲ETL開發技能2.具備SQL程式後端開發技能3.具備BI Report開發經驗B. ML/DL建模：1.具備ML/DL/AI實務經驗2.熟悉Python 與相關機器學習框架及套件 (如：TensorFlow、PyTorch、Scikit-learn、Pandas、NumPy等)3.熟悉常見的機器學習與深度學習演算法 (如：回歸、分類、聚類、CNN、RNN、Transformer等)4.具備模型部署與優化經驗5.具備CI/CD/Docker/MLOps 知識6.具備PostgreSQL 或 SQL Server等資料庫開發經驗【加分條件】A. 資料工程1.具備Trinity ETL開發經驗2.具備Teradata SQL開發經驗3.具備SQL Server Reporting Service報表開發經驗4.具備Azure PowerBI報表開發經驗5.具備SAP BOE開發經驗6.具備Python後端開發經驗7.善用 AI coding tools 加速開發並提升品質的經驗B. ML/DL建模1.具備生成式 AI (如 LLM) 的相關知識2.具備雲端平台 (AWS/GCP/Azure) 的相關知識3.熟悉BOE或Tableau等視覺化分析工具4.參與過開源機器學習專案或發表相關論文5.具備電信、金融或其他特定應用領域知識6.善用 AI coding tools 加速開發並提升品質的經驗C. 具備英文聽/說/讀/寫基本能力，有多益(TOEIC)聽讀550分以上尤佳【薪資待遇】：月薪36,000元-60,000元，依績效另有豐厚年終獎金與員工紅利。","軟體工程師,Internet程式設計師",不需負擔管理責任,日班，可彈性選擇上班時段,部分遠端，每月可申請10日居家上班,無需出差外派,英文,"Python,ETL,Django,Power BI","軟體工程系統開發,軟體程式設計,Machine Learning,資料庫程式設計",【加分條件】A.    資料工程        1.具備Trinity ETL開發經驗        2.具備Teradata SQL開發經驗        3.具備SQL Server Reporting Service報表開發經驗        4.具備Azure PowerBI報表開發經驗        5.具備SAP BOE開發經驗        6.具備Python後端開發經驗        7.善用 AI coding tools 加速開發並提升品質的經驗B.     ML/DL建模        1.具備生成式 AI (如 LLM) 的相關知識        2.具備雲端平台 (AWS/GCP/Azure) 的相關知識        3.熟悉BOE或Tableau等視覺化分析工具        4.參與過開源機器學習專案或發表相關論文        5.具備電信、金融或其他特定應用領域知識        6.善用 AI coding tools 加速開發並提升品質的經驗C.     具備英文聽/說/讀/寫基本能力，有多益(TOEIC)聽讀550分以上尤佳,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,7osnc|2025-10-22
4,8fce9,JC2002-軟體開發工程師(資料庫)-新竹區,頎邦科技股份有限公司,半導體製造業,新竹市,經歷不拘,大學,待遇面議,"上市上櫃, 節日獎金/禮品, 津貼/補助, 分紅配股, 員工宿舍",10月22日,"1.資料庫架構設計：設計並實施高效、可擴展的資料庫架構。2.數據平台建置：搭建、配置和維護數據平台。3.數據整合與處理：整合多來源數據，進行ETL工作。4.數據分析：進行數據分析和報告。5.系統優化：持續優化數據平台和資料庫性能。【面試資訊】◎本職缺為新竹區/湖口區職缺聯招， ""工作地點""將依實際用人需求分配(固定工作地)   新竹上班地點-新竹市展業一路10號   湖口上班地點-新竹縣湖口鄉光復路12號【薪資核敘】◎依學經歷、科系、經驗相關性、特殊需求證照及專長等條件核敘個人薪資◎如有輪班津貼/班制津貼則另計","全端工程師,軟體工程師,前端工程師",不需負擔管理責任,日班，08:30~17:30,未知,無需出差外派,不拘,"ASP.NET,C#,Java,Python,Visual Studio .net,MS SQL,Oracle,PL/SQL,hadoop,HTML,JavaScript,jQuery,CSS,Angular","系統架構規劃,系統整合分析,軟體程式設計,資料庫程式設計","需求經驗：1. 資料庫架構經驗：大型數據庫設計經驗，精通SQL。2. 數據平台建置經驗：熟悉Hadoop, Spark, Kafka等技術。3. 數據整合與處理經驗：多來源數據整合，ETL流程。4. 數據分析經驗：熟悉Python, R, SQL，具備數據可視化能力。5. 系統優化經驗：數據平台和資料庫性能優化經驗。",,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8fce9|2025-10-22
5,8ttop,AI研發工程師,天思數位科技股份有限公司,其它軟體及網路相關業,台中市西屯區,經歷不拘,大學,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 員工旅遊, 免費下午茶",10月22日,【工作摘要】研發多元 AI 應用，包括語音、影像、文件理解、資料分析、自然語言處理與生成式內容設計。【工作內容】1.使用 Python 與大型語言模型（LLM）開發與維護生成式 AI 應用。2.建構 LangChain 流程與 Multi-Agent 系統。3.研究並應用 RAG 技術，整合向量資料庫進行語意搜尋。4.開發影像辨識模組（YOLO 等），並結合語言模型實作多模態應用。5.規劃與管理資料流，使用 SQL/ETL 處理結構化與非結構化資料。6.建置 Docker 部署環境，參與協定設計（MCP），推動 PoC 與產品化。【期待的經驗跟特質】1.熟悉生成式 AI 技術（LangChain、Multi-Agent、RAG、MCP）及電腦視覺應用（YOLO）尤佳。2.熟悉 SQL/ETL 資料處理與資料流管理，並具自動化流程工具（如 n8n）整合經驗尤佳。3.具良好分析思考、溝通協調及團隊合作能力。【必要技能】1.熟 Python 語言與相關開發框架，具良好程式設計與除錯能力。2.熟 Docker 環境建置與容器化部署技術。3.熟向量資料庫（Vector DB）應用與語意查詢概念。,"AI工程師,軟體工程師,資料工程師",不需負擔管理責任,日班,未知,需外派，一年累積時間未定,英文,"Python,LLM,MS SQL,ETL","AI,生成式AI,資料庫軟體應用,語言模型,軟體程式設計,系統整合分析",【加分條件】1.對 AI 技術充滿熱情，渴望用技術解決真實問題並創造價值。2.樂於團隊合作與知識分享，和夥伴一起成長進步。3.擁抱快速變化，持續學習新技術並追求更佳解決方案。,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8ttop|2025-10-22
6,8rh1n,數據分析工程師,中嘉數位股份有限公司,網際網路相關業,台北市信義區,1年以上,專科,待遇面議,"距捷運南京三民站約500公尺, 年終獎金, 節日獎金/禮品, 津貼/補助, 交通補助",10月22日,1.規劃高效的資料處理與分析流程，並具簡報製作與說明能力2.跨部門溝通，與相關單位進行訪談，蒐集、規劃並分析各項資料3.根據業務需求，資料蒐集、資料清洗與分析的自動化產出機制4.維護例行報表，負責分析工具的建置與設定,數據分析師／資料分析師,不需負擔管理責任,日班,未知,無需出差外派,不拘,"Python,MS SQL,Excel,Tableau",不拘,,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8rh1n|2025-10-22
7,7x2qu,【總部】程式設計師,迷客夏_亞享實業股份有限公司,飲料店業,台南市北區,經歷不拘,碩士,待遇面議,"年終獎金, 節日獎金/禮品, 津貼/補助, 彈性上下班, 員工旅遊",10月22日,1.協助進行專案需求訪談、進度追蹤與會議紀錄2.協助進行系統設計與分析3.協助程式開發與維護4.協助資料庫資料整理及報表開發5.參與系統測試與問題處理,"數據分析師／資料分析師,軟體工程師,資訊助理",不需負擔管理責任,日班，08:30~17:30,未知,無需出差外派,英文,"C#,Java","軟體程式設計,資料庫程式設計,系統整合分析",1.資訊或數理相關科系尤佳2.具備 C# 或 Java 之開發基礎能力3.具備物件導向程式設計基礎概念4.了解資料庫基礎原理，具備資料庫基礎操作能力5.對應用程式開發、人工智慧應用、數據分析等領域感興趣6.加分項: 喜愛手搖飲、喜愛團隊合作7.加分條件：喜歡和睦的團隊合作氛圍,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,7x2qu|2025-10-22
8,8fgfh,AI Application Engineer(竹南/台北),Phison Electronics Corp_群聯電子股份有限公司,IC設計相關業,苗栗縣竹南鎮,2年以上,大學,待遇面議,"上市上櫃, 年終獎金, 節日獎金/禮品, 津貼/補助, 員工宿舍",10月22日,"1. 軟體需求討論及規劃, 實作高效能、高可用性、高擴充性之系統。2. LLM、語音、多模態相關應用開發。3. 底層演算法API串接 (Fine-tuning/Inference/RAG/Agent…)。4. 開發Web service滿足前端軟體需求。5. 維護既有系統並視需要規劃重構以增進可維護性。6. 自動化持續整合和測試及持續交付。","AI工程師,軟體工程師,資料工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,"C#,Python,Node.js",不拘,"1. 大學以上，電資學院、理工相關科系畢業，必需具備2年以上相關軟體開發經驗。2. 熟悉至少一種語言 (Python/Node.js/C#)。3. 熟悉虛擬化與容器技術Docker, Kubernetes。4. 具備LLM inference service串接經驗(vllm, TensorRT, GPT, Ollama…)。5. 熟悉至少一項資料庫系統，熟悉向量資料庫為佳(chroma, pg_vector, milvus…)。6. 熟悉至少一種前端Web技術(Typescript, Vue, HTML…)。7. 熟悉Linux。8. 具備CI/CD流程經驗。9. 具備langchain, llama_index串接經驗為佳。10. 英文聽說讀寫流利。",,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8fgfh|2025-10-22
9,8u1vm,AI應用工程師 AI Application Engineer,QuickClick快一點_點點全球股份有限公司,網際網路相關業,台北市松山區,經歷不拘,大學,待遇面議,"遠端工作, 年終獎金, 節日獎金/禮品, 津貼/補助, 生日假",10月22日,【成為點點全球的一員：與我們一起顛覆餐飲科技】在點點全球，我們的使命是「讓開店經營更簡單」。自2019年以來，我們推出了創新的「餐飲與零售科技雲端服務平台」，包括「快一點-線上點餐」和「點點付 DDPAY」兩大核心產品。我們專注於從點餐、收款、支付到會員CRM的全方位解決方案，致力於提升店家營運效率，減少人力成本，並助力市場拓展和會員回購。【職務內容 Job Description】1. 了解內部需求，將 AI 技術應用於實際業務場景，開發可落地的解決方案2. 協助規劃並導入 AI 工具（如自動化、智慧客服、推薦系統、數據分析可視化等）3. 負責資料收集、清理、前處理與模型訓練，確保 AI 模型能有效運作4. 與產品、工程團隊合作，將 AI 模型或服務整合到既有系統或平台5. 持續追蹤 AI 工具與應用趨勢，提出創新應用建議6. 撰寫文件與使用手冊，協助內部團隊理解與運用 AI 成果【必要條件 Necessary Conditions】1. 熟悉 Python，能運用常見 AI/ML 套件（如 TensorFlow、PyTorch、scikit-learn 等）2. 熟悉資料處理與數據分析（Pandas、SQL 等工具）3. 具備 API 串接、系統整合或應用開發經驗4. 對新技術有高度學習熱忱，能快速將工具轉化為可用解決方案5. 具備良好的溝通能力，能將技術轉譯為業務或產品語言【加分條件】1. 有 NLP、電腦視覺或推薦系統應用經驗2. 具備雲端（AWS/GCP/Azure）與 MLOps、Docker、Kubernetes 經驗3. 熟悉商業流程數據，能將 AI 技術與實際業務結合※ 面試需提供AI相關成果或應用案例參考,"AI工程師,軟體工程師,資料工程師",不需負擔管理責任,日班，9:00-18:00(前後彈性1小時),部分遠端，申請制,無需出差外派,不拘,--,"AI,軟體程式設計",無,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8u1vm|2025-10-22
10,8p77j,軟體工程師人才/CEO,江海全聯股份有限公司,其他投資理財相關業,新竹縣竹北市,經歷不拘,大學,"月薪150,000~200,000元","年終獎金, 節日獎金/禮品, 津貼/補助, 員工旅遊, 部門聚餐",10月22日,"【工作內容】• 參與交友應用程式的功能開發、優化與維護• 設計並實作高效能、高可用性的系統架構• API 設計、資料庫建置與優化• 與產品、設計、行銷團隊密切合作，快速迭代新功能• 分析用戶行為數據，協助產品優化使用者體驗• 持續學習新技術，提升產品穩定性與效能【必備條件】• 熟悉至少一種後端語言（如 Node.js、Python、Java 等）或前端框架（如 React、Vue）• 熟悉 Git 版本控制• 具備良好的溝通與團隊合作能力• 對使用者體驗與產品開發充滿熱情【加分條件】• 有即時通訊、交友平台或社交App開發經驗 • 有熟悉 Firebase、AWS、GCP 或其他雲端服務• 有大型系統、多人併發、聊天功能開發經驗• 具備基礎資料分析能力（了解用戶行為數據）【待遇福利】• 月薪範圍：依經驗可談（ $45,000～$80,000）• 彈性上下班，可排班制• 年終獎金、專案獎金• 供應外縣市員工住宿（提供宿舍）• 員工旅遊、定期聚餐","軟體工程師,數據分析師／資料分析師,全端工程師",不需負擔管理責任,日班,未知,無需出差外派,英文,--,不拘,無,,2025-11-08 05:05:36,2025-11-15 13:40:39,2025-10-22,8p77j|2025-10-22
